主体,年代
Plate,1785–90
Soup_Plate,1785–90
Tray,1785–90
Soup_Plate,1785–90
Soup_Plate,1785–90
Soup_Plate,1785–90
Soup_Plate,1785–90
Soup_Plate,1785–90
Soup_Plate,1785–90
Plate,1785–90
Soup_Plate,1785–90
Soup_Plate,1785–90
Soup_Plate,1785–90
Soup_Plate,1785–90
Soup_Plate,1785–90
Soup_Plate,1785–90
Soup_Plate,1785–90
Soup_Plate,1785–90
Soup_Plate,1785–90
Soup_Plate,1785–90
Soup_Plate,1785–90
Soup_Plate,1785–90
Soup_Plate,1785–90
Soup_Plate,1785–90
Soup_Plate,1785–90
Soup_Plate,1785–90
Covered_Platter,1785–90
Covered_Platter,1785–90
Covered_Platter,1785–90
Bread_Plate,1785–90
Bread_Plate,1785–90
Bread_Plate,1785–90
Bread_Plate,1785–90
Bread_Plate,1785–90
Bread_Plate,1785–90
Covered_Platter,1785–90
Bread_Plate,1785–90
Bread_Plate,1785–90
Bread_Plate,1785–90
Bread_Plate,1785–90
Bread_Plate,1785–90
Bread_Plate,1785–90
Bread_Plate,1785–90
Bread_Plate,1785–90
Bread_Plate,1785–90
Bread_Plate,1785–90
Bread_Plate,1785–90
Bread_Plate,1785–90
Bread_Plate,1785–90
Bread_Plate,1785–90
Bread_Plate,1785–90
Bread_Plate,1785–90
Bread_Plate,1785–90
Bread_Plate,1785–90
Bread_Plate,1785–90
Bread_Plate,1785–90
Bread_Plate,1785–90
Bowl,1785–90
Bowl,1785–90
Bowl,1785–90
Bowl,1785–90
Bowl,1785–90
Bowl,1785–90
Bowl,1785–90
Bowl,1785–90
Bowl,1785–90
Bowl,1785–90
Bowl,1785–90
Bowl,1785–90
Bowl,1785–90
Bowl,1785–90
Bowl,1785–90
Bowl,1785–90
Bowl,1785–90
Bowl,1785–90
Bowl,1785–90
Bowl,1785–90
Bowl,1785–90
Bowl,1785–90
Bowl,1785–90
Bowl,1785–90
Bowl,1750–75
Bowl,1785–90
Bowl,1785–90
Bowl,1785–90
Bowl,1785–90
Bowl,1785–90
Bowl,1785–90
Bread_Plate,1785–90
Bowl,1785–90
Bowl,1785–90
Bread_Plate,1785–90
Bowl,1785–90
Bread_Plate,1785–90
Bowl,1785–90
Bowl,1785–90
Bread_Plate,1785–90
Bowl,1785–90
Bread_Plate,1785–90
Bread_Plate,1785–90
Bread_Plate,1785–90
Bowl,1785–90
Bread_Plate,1785–90
Bread_Plate,1785–90
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Custard_Cup,1785–90
Cup_and_Saucer,1785–90
Custard_Cup,1785–90
Cup_and_Saucer,1785–90
Custard_Cup,1785–90
Cup_and_Saucer,1785–90
Custard_Cup,1785–90
Custard_Cup,1785–90
Custard_Cup,1785–90
Custard_Cup,1785–90
Custard_Cup,1785–90
Custard_Cup,1785–90
Custard_Cup,1785–90
Custard_Cup,1785–90
Saucer,1785–90
Custard_Cup,1785–90
Custard_Cup,1785–90
Saucer,1785–90
Saucer,1785–90
Saucer,1785–90
Saucer,1785–90
Custard_Cup,1785–90
Saucer,1785–90
Saucer,1785–90
Saucer,1785–90
Salad_Bowl,1785–90
Saucer,1785–90
Salad_Bowl,1785–90
Platter,1785–90
Salad_Bowl,1785–90
Plate,1785–90
Platter,1785–90
Plate,1785–90
Plate,1785–90
Saucer,1785–90
Plate,1785–90
Platter,1785–90
Platter,1785–90
Platter,1785–90
Platter,1785–90
Platter,1785–90
Platter,1785–90
Platter,1785–90
Platter,1785–90
Platter,1785–90
Platter,1785–90
Platter,1785–90
Platter,1785–90
Platter,1785–90
Platter,1785–90
Saucer,1825–50
Sugar_Bowl,1770–1800
Saucer,1785–90
Fan,ca. 1800–1810
Cup,1825–50
Platter,1785–90
Platter,1745–55
Candlestand,ca. 1800
Punch_Bowl,ca. 1786–90
Nesting_Table,ca. 1820
Nesting_Table,ca. 1820
Platter,1790–1800
Tureen,1790–1800
Bowl,1700–1800
Pater_Patriae,ca. 1800
Underplate,ca. 1786
Covered_Pitcher,1785–90
Cream_Pitcher,ca. 1795
Covered_Pitcher,1785–90
Soup_Tureen,1785–90
Covered_Two-handled_Bowl,1785–90
Soup_Tureen,1785–90
Covered_Sauce_Tureen,1785–90
Platter_with_Drainer,1785–90
Covered_Two-handled_Bowl_and_Tray,1785–90
Covered_Sauce_Tureen,1785–90
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Plate,ca. 1860–66
Tray,ca. 1860–66
Teacup_and_Saucer,ca. 1860–66
Mug,ca. 1800
Saucer,ca. 1860–66
Cup_and_Saucer,1785–90
Saucer,ca. 1860–66
Dish,ca. 1860–66
Cup_and_Saucer,1785–90
Demitasse_Cup_and_Saucer,ca. 1860–66
Cup_and_Saucer,1700–1800
Cup_and_Saucer,1770–1800
Coffee_Cup_and_Saucer,ca. 1860–66
Covered_Sauceboat,1790–1800
Covered_Sauceboat,1790–1800
Covered_Serving_Dish,ca. 1860–66
Covered_Sauceboat,ca. 1860–66
Covered_Serving_Dish,ca. 1860–66
Covered_Serving_Dish,ca. 1860–66
Covered_Serving_Dish,ca. 1860–66
Covered_Serving_Dish,ca. 1860–66
Covered_Tureen,ca. 1860–66
Covered_Serving_Dish,ca. 1860–66
Bowl,ca. 1860–66
Demitasse_Cup_and_Saucer,ca. 1860–66
Demitasse_Cup_and_Saucer,ca. 1860–66
Dish,ca. 1860–66
Dish,ca. 1860–66
Dish,ca. 1860–66
Dish,ca. 1860–66
Saucer,ca. 1860–66
Saucer,ca. 1860–66
Platter,ca. 1860–66
Saucer,ca. 1860–66
Platter_and_Rack,ca. 1860–66
Platter,ca. 1860–66
Soup_Dish,ca. 1860–66
Platter,ca. 1860–66
Platter,ca. 1860–66
Plate,ca. 1860–66
Teabowl_with_Chinoiserie_decoration,"Chinese porcelain, ca. 1700–20, with Bohemian enamel decoration, ca. 1720–30"
Couplet_for_Xie_Zhiliu's_80th_Birthday,dated 1989
Plate,ca. 1860–66
Plate,ca. 1860–66
Pagoda_and_Case,"Qing dynasty (1644–1911), ca. 1784–92"
Beaker_with_“Postele?n_Verkooping”_(porcelain_selling),beaker ca. 1700–20; decoration ca. 1711–30
Papier_Maché_Copy_of_A_Chinese_Helmet_Probably_theatrical,18th–19th century
Liberty,Ca. 1800
Sauceboat,1785–90
Sauceboat,1785–90
Chinese_Flat-sided_Jade_Archer's_Ring,17th–19th century
Summer_Mountains,ca. 1050
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Cup_and_Saucer,1785–90
Nesting_Table,ca. 1820
Nesting_Table,ca. 1820
Cream_Pitcher,1785–90
Soup_Dish,ca. 1860–66
Nesting_Table,ca. 1820
Soup_Dish,ca. 1860–66
Cup_and_Saucer,1785–90
Saucer,ca. 1730
Soup_Dish,ca. 1860–66
Soup_Dish,ca. 1860–66
Soup_Dish,ca. 1860–66
Soup_Dish,ca. 1860–66
Soup_Dish,ca. 1860–66
Soup_Dish,ca. 1860–66
Soup_Dish,ca. 1860–66
Soup_Dish,ca. 1860–66
Soup_Dish,ca. 1860–66
Soup_Dish,ca. 1860–66
Soup_Dish,ca. 1860–66
Soup_Dish,ca. 1860–66
Soup_Dish,ca. 1860–66
Soup_Dish,ca. 1860–66
Soup_Dish,ca. 1860–66
Teacup_and_Saucer,ca. 1860–66
Teacup_and_Saucer,ca. 1860–66
Soup_Dish,ca. 1860–66
Soup_Dish,ca. 1860–66
Soup_Dish,ca. 1860–66
Soup_Dish,ca. 1860–66
Saucer,ca. 1860–66
Soup_Dish,ca. 1860–66
Saucer,ca. 1860–66
Saucer,ca. 1860–66
Saucer,ca. 1860–66
Saucer,ca. 1860–66
Saucer,ca. 1860–66
Saucer,ca. 1860–66
Teacup_and_Saucer,ca. 1860–66
Saucer,ca. 1860–66
Saucer,ca. 1860–66
Teacup_and_Saucer,ca. 1860–66
Teacup_and_Saucer,ca. 1860–66
Teacup_and_Saucer,ca. 1860–66
Teacup_and_Saucer,ca. 1860–66
Teacup_and_Saucer,ca. 1860–66
Teacup_and_Saucer,ca. 1860–66
Teacup_and_Saucer,ca. 1860–66
Teacup_and_Saucer,ca. 1860–66
Tray,ca. 1860–66
Platter,ca. 1860–66
Saucer,ca. 1860–66
Saucer,ca. 1860–66
Saucer,ca. 1860–66
Platter,ca. 1860–66
Saucer,ca. 1860–66
Teacup_and_Saucer,ca. 1860–66
Saucer,ca. 1860–66
Plate,ca. 1860–66
Saucer,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Covered_Sauceboat,ca. 1860–66
Dish,ca. 1860–66
Dish,ca. 1860–66
Covered_Serving_Dish,ca. 1860–66
Plate,ca. 1860–66
Teacup_and_Saucer,ca. 1860–66
Plate,ca. 1860–66
Platter,ca. 1860–66
Saucer,ca. 1860–66
Saucer,ca. 1860–66
Plate,ca. 1860–66
Saucer,ca. 1860–66
Plate,ca. 1860–66
Saucer,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Plate,ca. 1860–66
Covered_Serving_Dish,ca. 1860–66
Plate,ca. 1860–66
Dish,ca. 1860–66
Plate,ca. 1860–66
Demitasse_Cup_and_Saucer,ca. 1860–66
Demitasse_Cup_and_Saucer,ca. 1860–66
Demitasse_Cup_and_Saucer,ca. 1860–66
Coffee_Cup_and_Saucer,ca. 1860–66
Coffee_Cup_and_Saucer,ca. 1860–66
Demitasse_Cup_and_Saucer,ca. 1860–66
Demitasse_Cup_and_Saucer,ca. 1860–66
Demitasse_Cup_and_Saucer,ca. 1860–66
Demitasse_Cup_and_Saucer,ca. 1860–66
Demitasse_Cup_and_Saucer,ca. 1860–66
Coffee_Cup_and_Saucer,ca. 1860–66
Chessmen_(32),19th century
Chessmen_(30),early 20th century
Chessmen_(32),19th century
Saber_with_Scabbard_and_Belt_Hook_(清____腰刀),probably 18th century
Fan_box,19th century
Helmet,probably mid- to late 17th century
Robe,ca. 1905
Chessmen_(32),19th century
Hand_Cannon_(Chong),dated 1424
Chessmen_(30)_and_board_and_box,18th–19th century
Saddle_Cushion,18th–19th century
Pair_of_Stirrups_(清____鉄鑊金馬鐙一副),probably 17th century
Helmet,18th–19th century
Sword_with_Scabbard,18th–19th century
Mace,18th–19th century
Weapon,18th–19th century
Necklace,19th–20th century
Necklace,early 19th century
Mace,18th–19th century
Piece,19th–mid-20th century
Necklace,19th–20th century
Necklace,19th–20th century
Necklace,19th–20th century
Necklace,19th–20th century
Necklace,19th–20th century
Necklace,19th–20th century
Necklace,19th–20th century
Necklace,19th–20th century
Necklace,19th–20th century
Chessman,late 19th century
Chessman,19th century
Chessboard,19th century
Shawl,mid-19th century
Archer's_Ring,17th–19th century
Fan_box,19th century
Spearhead,17th–19th century
Fan_case,19th century
Helmet,15th–16th century
Fan_box,19th century
Ivory_Archer's_Ring_Carved_with_Characters_in_Relief,17th–19th century
Fan_box,19th century
Archer's_Ring,17th–19th century
Archer's_Ring,17th–19th century
Halberd_Head,1122 BCE–255 BCE
Pair_of_Stirrups,19th century
Bridle_with_Cloissone_Mounts,18th–19th century
Parrying_Weapon,18th–19th century
Sword,18th–19th century
Archer's_Ring,17th–19th century
Archer's_Ring,17th–19th century
Staghorn_Archer's_Ring,17th–19th century
Archer's_Ring,17th–19th century
Archer's_Ring,17th–19th century
Mottled_Stone_Archer's_Ring,17th–19th century
Archer's_Ring,17th–19th century
Archer's_Ring,17th–19th century
Archer's_Ring,17th–19th century
Archer's_Ring,17th–19th century
Archer's_Ring,17th–19th century
Archer's_Ring,17th–19th century
Archer's_Ring,17th–19th century
Archer's_Ring,17th–19th century
Archer's_Ring,17th–19th century
Archer's_Ring,17th–19th century
Archer's_Ring,17th–19th century
Archer's_Ring,17th–19th century
Archer's_Ring,17th–19th century
Mottled_Wood_Archer's_Ring,17th–19th century
Archer's_Ring,17th–19th century
Wood_Archer's_Ring,17th–19th century
Archer's_Ring,17th–19th century
Archer's_Ring,17th–19th century
Archer's_Ring,17th–19th century
Archer's_Ring,17th–19th century
Archer's_Ring,17th–19th century
Archer's_Ring,17th–19th century
Archer's_Ring,17th–19th century
Archer's_Ring,17th–19th century
Light_Grey_Archer's_Ring,17th–19th century
Archer's_Ring,17th–19th century
Archer's_Ring,17th–19th century
Archer's_Ring,17th–19th century
Archer's_Ring,17th–19th century
Archer's_Ring,17th–19th century
Jet_Archer's_Ring,17th–19th century
Pellet_Crossbow,19th century
Spear,18th century
Mace,18th–19th century
Mace,18th–19th century
Mace,18th–19th century
Archer's_Ring,19th century
Mace,18th–19th century
Helmet_with_Feather_Crest_(清___羽飾頭盔),17th–18th century
Mace,18th century
Spearhead_(明-清___矛頭),17th–18th century
Gunpowder_Flask_(清__火藥壺),probably 18th century
Case_for_Archer's_Ring,19th century
Sword_with_Scabbard,17th century
Archer's_Ring_of_Agate_With_Black_Ends,17th–19th century
Very_Thin_Archer's_Ring_of_Mottled_Stone,17th–19th century
Four_Pieces_of_Brigandine_Armor,18th–19th century
Sword_with_Scabbard,18th–19th century
"Bone,_Light_Brown_Archer's_Ring",17th–19th century
"Bone,_Dark_Brown_Archer's_Ring",17th–19th century
Pair_of_Stirrups,1368–1644
Chessmen_(32),19th century
Chessmen_(32),19th century
Chessmen_(32),19th century
Chessmen_(32),19th century
Dark_Green_Jade_Archer's_Ring,17th–19th century
Agate_Archer's_Ring_with_White_Band_at_Middle,17th–19th century
Double_Sword_with_Scabbard,19th century
White_and_Red_Archer's_Ring,17th–19th century
Fragments_with_European_grotesque_designs,late 18th century
Wood_Archer's_Ring_With_Silver_Lining,17th–19th century
"Bone,_Light_Brown_Archer's_Ring",17th–19th century
Armor,18th century
Matchlock_Gun_(清__鳥銃),probably 18th–19th century
Fan_box,first half 19th century
Ceremonial_Armors_for_Man_(Dingjia)_and_Horse,18th century
Armor,18th century
Powder_Flask,18th–19th century
Box,mid-19th century
Teapot,ca. 1700
Fan_box,19th century
Archer's_Ring,17th–19th century
Archer's_Ring,17th–19th century
Fan_box,19th century
Fan_box,19th century
Dish,ca. 1725–40 (?)
Fan_box,19th century
Double_Sword_with_Scabbard,18th–19th century
Chessmen_(32),early 19th century
Armor,18th century
Armor,18th century
Sword_with_Scabbard,19th century
Knife_with_Sheath_and_Chopsticks_(Trousse),18th–19th century
Knife_with_Sheath,18th–19th century
Knife_with_Sheath,18th–19th century
Fan_box,19th century
"Knife_with_Sheath,_Chopsticks,_and_Earspoon",18th–19th century
Archer's_Ring_with_Case,17th–19th century
Bow_Case_and_Quiver,19th century
Knife_with_Sheath,18th–19th century
Bow_Case_and_Quiver_with_Belt,17th–19th century
Chessmen_(32)_and_board,19th century
Baton_(Bian),18th–19th century
Chessmen_(32),late 19th century
Armor_with_Equestrian_Equipment,late 18th–19th century
Scale_Armor,ca. 18th century
Case_for_Two_Archer's_Rings,19th century
Sword_with_Scabbard,18th–19th century
Powder_Flask_with_Ivory_Top_and_Bone_Measure_Attached,18th–19th century
Powder_Flask_with_Ivory_Top_with_Wooden_Measure_Attached,18th–19th century
"Knife_with_Sheath,_Chopsticks,_Picks,_and_Earspoon",18th–19th century
"Knife_with_Sheath,_Chopsticks,_Pickle_Spear_and_Picks",18th–19th century
Sword_with_Scabbard,17th century
Sword_with_Scabbard_and_Belt_Hook,18th century
"Knife_with_Sheath,_Chopsticks,_Pickle_Spear_and_Toothpicks",18th–19th century
Box_with_cover_in_the_form_of_an_elephant,ca. 1770
Draughtsmen_(34)_and_cups_(2),19th century
Cover,first quarter 18th century
Saber_(Peidao)_with_Scabbard,late 18th–19th century
Ceremonial_Armor,18th century
Armor_with_Archery_Equipment_and_Box,ca. 1840
Clock_watch,ca. 1736–95
Ceremonial_Armors_for_Man_(Dingjia)_and_Horse,18th century
Circular_vessel_with_Heart_Sutra,late 19th century
Finches_and_bamboo,early 12th century
Mythical_Beast,18th century
Yuping_Xiao,ca. 1890
Painting_table,late 16th–early 17th century
Low_table_inscribed_with_25th_chapter_of_the_Lotus_Sutra,1510
Po,19th century
Bangu_(板鼓),19th century
Erxian,19th century
Hu_Chin,19th century
Yangqin__(揚琴),19th century
Zheng,19th century
Pipa_(琵琶_),late 19th–early 20th century
Nanbanzi_(南梆子),19th century
ManTou_Gu_(馒头_鼓),19th century
Streams_and_Mountains_without_End,ca. 1710
The_Battle_at_Tam-dy_and_Tru-huu,1789–90
Chinese_Palampore,1750–1800
Bo_(bell)_and_stand,late 19th century
Cup,3rd century BC
Plate,1736–95
Bo_(bell)_and_stand,late 19th century
Zhong_(bell)_and_stand,late 19th century
Zhong_(bell)_and_stand,late 19th century
Night-Shining_White,ca. 750
Cheongsam,1930s
Piece,未知年代
Shawl,1885–1910
Zhong,late 19th century
Banyan,1760–70
Shawl,1885–1910
Zhong,late 19th century
Shawl,1885–1910
Xiao_(簫_),late 19th century
Shawl,early 20th century
Hexagonal_Jardinière,probably 19th century
Zhong,late 19th century
Shawl,1900–1925
Fan,20th century
Sheng_(_笙_),late 19th century
Clutch,ca. 1930
Slip,1930–59
Slip,1930–59
Piece,1800–1850
Slip,1930–59
Shawl,1850–1900
Robe,1875–1911
Shawl,1920s
Cheongsam,1932
Cheongsam,1932
Yueqin_(月琴),19th century
Wash_Basin,1700–1799
Ensemble,1930–49
Piece,1800–1850
Piece,1800–1830
Fan,1900–1925
Button,249–210 BCE
Robe,1930–39
Shirt,ca. 1960
Button,1700–1951
Piece,1800–1830
Button,1925–51
Huagu,19th century
Armchair,late 18th century
Ensemble,1960–65
Ensemble,1930s
Purse,probably 19th century
Robe,1870s
Shawl,1875–1950
Shawl,early 20th century
Ensemble,early 1960s
Slippers,1830–59
Shawl,early 20th century
Evening_cheongsam,1930s
Afternoon_dress,ca. 1910
Lo,19th century
Evening_dress,1930–59
Lo,19th century
Fan,20th century
Rattle,19th century
Rattle,19th century
Xiao_Luo_(小锣),19th century
Lo,19th century
Paiban_(拍板_),late 19th century
Yangqin__(揚琴),19th century
Laqin,19th century
Yangqin__(揚琴),19th century
Lingerie,early 1920s
Jew's_Harp,early 20th century
Po_(鈸_),19th century
Rattle,late 19th century
Bell,late 19th century
Po,19th century
Bell,late 19th century
Bell,late 19th century
Musical_Bow,ca. 1850–89
Tiqin,19th century
Lo,ca. 1875–89
Bell,late 19th century
Bell,19th century
Gong,late 19th century
Drilbu_(Bell),19th century
Lo-Tseih,19th century
Drilbu_(Bell),19th century
Drilbu_(Bell),19th century (?)
Po,19th century
Lo-Chu,19th century
Dog,late 19th–early 20th century
Jardiniere,1800–1900
Punch_Bowl,1800–1805
Bell,19th century
Ring,probably 19th century
Ax_Head,15th–18th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
Ring,probably 19th century
